UF;Bacia;Exploração;Nome_ANP;Campo;Operador;Período;Petróleo_(bbl/dia);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;7-LL-79D-RJS;TUPI;Petrobras;2023/01;7.566,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;7-LL-59-RJS;TUPI;Petrobras;2023/01;17.725,47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;7-LL-51-RJS;TUPI;Petrobras;2023/01;13.736,48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;7-LL-48D-RJS;TUPI;Petrobras;2023/01;16.405,40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;7-LL-61-RJS;TUPI;Petrobras;2023/01;17.776,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;7-LL-113D-RJS;SUL DE TUPI;Petrobras;2023/01;1.050,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;7-LL-110D-RJS;SUL DE TUPI;Petrobras;2023/01;571,8007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;7-LL-106DA-RJS;SUL DE TUPI;Petrobras;2023/01;140,281;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-PM-32D-RJS;PAMPO;Trident Energy;2023/01;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;3-PM-1A-RJS;PAMPO;Trident Energy;2023/01;329,5195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
